id,question,theme
1,When did Beyonce leave Destiny's Child and become a solo singer?,Beyoncé
2,What album made her a worldwide known artist?,Beyoncé
3,Who managed the Destiny's Child group?,Beyoncé
4,When did Beyoncé rise to fame?,Beyoncé
5,What role did Beyoncé have in Destiny's Child?,Beyoncé
6,When did Beyoncé release Dangerously in Love?,Beyoncé
7,How many Grammy awards did Beyoncé win for her first solo album?,Beyoncé
8,What was the name of Beyoncé's first solo album?,Beyoncé
9,"After her second solo album, what other entertainment venture did Beyonce explore?",Beyoncé
10,Which album was darker in tone from her previous work?,Beyoncé
11,"After what movie portraying Etta James, did Beyonce create Sasha Fierce?",Beyoncé
12,When did Destiny's Child end their group act?,Beyoncé
13,What was the name of Beyoncé's second solo album?,Beyoncé
14,"What was Beyoncé's first acting job, in 2006?",Beyoncé
15,Who is Beyoncé married to?,Beyoncé
16,What is the name of Beyoncé's alter-ego?,Beyoncé
17,"In her music, what are some recurring elements in them?",Beyoncé
18,Time magazine named her one of the most 100 what people of the century?,Beyoncé
19,In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,Beyoncé
20,What magazine rated Beyonce as the most powerful female musician in 2015?,Beyoncé
21,In which years did Time rate Beyonce in the 100 most influential people in the world?,Beyoncé
22,How many records has Beyonce sold in her 19 year career?,Beyoncé
23,How many records did Beyoncé sell as part of Destiny's Child?,Beyoncé
24,"After leaving Destiny's Child, how many records did Beyoncé release under her own name?",Beyoncé
25,How many Grammy awards has Beyoncé won?,Beyoncé
26,What race was Beyonce's father?,Beyoncé
27,Beyonce's childhood home believed in what religion?,Beyoncé
28,Beyonce's father worked as a sales manager for what company?,Beyoncé
29,Beyonce's mother worked in what industry?,Beyoncé
30,What younger sister of Beyonce also appeared in Destiny's Child?,Beyoncé
31,Beyonce is a descendent of what Arcadian leader?,Beyoncé
32,What company did Beyoncé's father work for when she was a child?,Beyoncé
33,What did Beyoncé's mother own when Beyoncé was a child?,Beyoncé
34,What is the name of Beyoncé's younger sister?,Beyoncé
35,Beyoncé is a descendant of which Acadian leader?,Beyoncé
36,What town did Beyonce go to school in?,Beyoncé
37,Who was the first person to notice Beyonce's singing ability?,Beyoncé
38,Beyonce moved to which town after she left her first elementary school?,Beyoncé
39,Which of her teachers discovered Beyonce's musical talent?,Beyoncé
40,What type of school was Parker Elementary School?,Beyoncé
41,What city was Beyoncé's elementary school located in?,Beyoncé
42,What was the name of Beyoncé's first dance instructor?,Beyoncé
43,How old was Beyoncé when she won a school talent show?,Beyoncé
44,"In 1995, who decided to manage the girls singing group?",Beyoncé
45,Who was the first record label to give the girls a record deal?,Beyoncé
46,What large record company recorded Beyonce's group's first album?,Beyoncé
47,What record company first signed Beyonce's group and later cut them?,Beyoncé
48,At what age did Beyonce meet LaTavia Robertson?,Beyoncé
49,Who placed Girl's Tyme in Star Search?,Beyoncé
50,When did Beyoncé begin to manage the girl group?,Beyoncé
51,"Who signed the girl group on October 5, 1995?",Beyoncé
52,Which film featured Destiny's Child's first major single?,Beyoncé
53,"For which song, did Destiny's Child take home the grammy award for best R&B performance?",Beyoncé
54,"Who did Beyonce record with for the movie ""The Best Man?""",Beyoncé
55,Beyonce's group changed their name to Destiny's Child in what year?,Beyoncé
56,What song won Best R&B Performance in the 43 Annual Grammy Awards?,Beyoncé
57,"What singer did Beyonce record a song with for the movie, ''The Best Man""?",Beyoncé
58,Where did Destiny's Child get their name from?,Beyoncé
59,What was Destiny's Child's first major song hit?,Beyoncé
60,"Who did Beyoncé sing a duet with for ""The Best Man"" film?",Beyoncé
61,What event occured after she was publicly criticized?,Beyoncé
62,What event caused Beyonce's depression?,Beyoncé
63,Who helped Beyonce fight her depression the most?,Beyoncé
64,Who replaced Luckett and Roberson in Destiny's Child?,Beyoncé
